date,item,store,price,url
2026-05-26,Onion,Caprabo,2.06,https://www.capraboacasa.com/es/productdetail/463042-cebolla-rosada-malla-1kg/
2026-05-26,Carrot,Caprabo,1.35,https://www.capraboacasa.com/es/productdetail/4501508-zanahoria-eroski-bolsa-1-kg/
2026-05-26,Bell pepper,Caprabo,2.50,https://www.capraboacasa.com/es/productdetail/1867-pimiento-verde-italiano-al-peso-compra-minima-500-g/
2026-05-26,Mushroom,Caprabo,5.00,https://www.capraboacasa.com/es/productdetail/17823097-champinon-blanco-eroski-bandeja-300-g/
2026-05-26,Cauliflower,Caprabo,5.25,https://www.capraboacasa.com/es/productdetail/25614967-floretes-de-coliflor-eroski-bandeja-400-g/
2026-05-26,Spinach,Caprabo,4.33,https://www.capraboacasa.com/es/productdetail/18298018-espinaca-eroski-bolsa-300-g/
2026-05-26,Green beans,Caprabo,4.36,https://www.capraboacasa.com/es/productdetail/66613-judia-plana-eroski-malla-500-g/
2026-05-26,Eggplant,Caprabo,1.98,https://www.capraboacasa.com/es/productdetail/26793992-berenjena-negra-al-peso-compra-minima-500-g/
2026-05-26,Banana,Caprabo,2.90,https://www.capraboacasa.com/es/productdetail/12069175-platano-de-canarias-igp-eroski-al-peso-compra-minima-1-kg/
2026-05-26,Apple,Caprabo,2.20,https://www.capraboacasa.com/es/productdetail/23842743-manzana-golden-al-peso-compra-minima-1-kg/
2026-05-26,Kiwi,Caprabo,4.70,https://www.capraboacasa.com/es/productdetail/12063319-kiwi-zespri-green-al-peso-compra-minima-500-g/
2026-05-26,Orange,Caprabo,2.45,https://www.capraboacasa.com/es/productdetail/23155930-naranja-para-postre-terres-l-ebre-al-peso-compra-minima-1-kg/
2026-05-26,Avocado,Caprabo,5.00,https://www.capraboacasa.com/es/productdetail/18374611-aguacate-maduro-al-peso-compra-minima-500-g/
2026-05-26,Almonds,Caprabo,14.57,https://www.capraboacasa.com/es/productdetail/16710600-almendras-crudas-eroski-bolsa-175-g/
2026-05-26,Walnuts,Caprabo,12.51,https://www.capraboacasa.com/es/productdetail/4171013-nuez-mondada-eroski-bolsa-175-g/
2026-05-26,Hazelnuts,Caprabo,21.66,https://www.capraboacasa.com/es/productdetail/25578394-avellana-tostada-eroski-bolsa-175-g/
2026-05-26,Pork loin,Caprabo,6.90,https://www.capraboacasa.com/es/productdetail/25214719-filetes-de-lomo-eroski-bandeja-aprox-500-g/
2026-05-26,Chicken breast,Caprabo,6.00,https://www.capraboacasa.com/es/productdetail/19230572-pechugas-enteras-pollo-formato-ahorro-xxl-eroski-bandeja-aprox-950-g/
